Topic	Scores
паралимпийский сша автомобиль корабль malaysia airlines состояться минобороны навальный парламент	0.017943743937924344,0.01212415130940834,0.004849660523763337,0.004849660523763337,0.021823472356935016,0.004849660523763337,0.02230843840931135,0.12027158098933075,0.00533462657613967,0.01600387972841901
россия сша обсуждать рубль призывать путин возглавлять выступать ситуация обращение	0.011154219204655674,0.008244422890397672,0.028128031037827354,0.03394762366634336,0.004849660523763337,0.017943743937924344,0.1338506304558681,0.04122211445198836,0.03491755577109602,0.037827352085354024
референдум сочи самолет лавров соглашение территория данные запад право подписывать	0.026188166828322017,0.03831231813773036,0.006304558680892337,0.012609117361784675,0.013094083414161009,0.0072744907856450046,0.016488845780795344,0.06838021338506305,0.07468477206595538,0.036372453928225024
россия дело премьер сообщать сирийский неделя женева неизвестный махачкала конституция	0.01600387972841901,0.06450048496605237,0.042192046556741025,0.01842870999030068,0.06983511154219205,0.04849660523763336,0.0072744907856450046,0.03976721629485936,0.03976721629485936,0.03831231813773036
задерживать иран лидер шестерка называть олланд пообещать фото парковка предполагать	0.009699321047526674,0.09699321047526673,0.03152279340446169,0.03297769156159069,0.008729388942774006,0.016488845780795344,0.006304558680892337,0.011154219204655674,0.004849660523763337,0.004849660523763337
диалог ситуация амнистия газета убийство сирия возвращение удаваться киров маяковский	0.004849660523763337,0.03152279340446169,0.029582929194956354,0.09408341416100872,0.004849660523763337,0.011154219204655674,0.025703200775945685,0.004849660523763337,0.010184287099903006,0.004849660523763337
москва глава путин получать считать российский партия находить женщина возможность	0.08195926285160039,0.03976721629485936,0.040737148399612025,0.039282250242483024,0.029097963142580018,0.011154219204655674,0.030552861299709022,0.053831231813773035,0.08341416100872939,0.03443258971871969
киев сочи майдан олимпиада переговоры площадь выходить глава тимошенко заявлять	0.01988360814742968,0.00533462657613967,0.0504364694471387,0.004849660523763337,0.004849660523763337,0.12754607177497576,0.02133850630455868,0.004849660523763337,0.004849660523763337,0.004849660523763337
олимпиада суд стрельба фигурист московский полицейский устраивать япония брестский cnn	0.004849660523763337,0.01988360814742968,0.004849660523763337,0.026188166828322017,0.1440349175557711,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337
завоевывать сша заявлять акция предлагать зачет выступать парламент граница пожар	0.015518913676042677,0.01600387972841901,0.004849660523763337,0.009699321047526674,0.040252182347235696,0.06013579049466537,0.011639185257032008,0.02667313288069835,0.053831231813773035,0.020368574199806012
принимать телеканал закон переговоры решать оружие дождь выходить правительство союз	0.004849660523763337,0.025703200775945685,0.031037827352085354,0.08195926285160039,0.036372453928225024,0.004849660523763337,0.013579049466537343,0.03976721629485936,0.009699321047526674,0.036372453928225024
оппозиция школа предлагать отказываться взрыв становиться продолжать израиль январь освобождать	0.020853540252182348,0.0518913676042677,0.08098933074684772,0.0635305528612997,0.0072744907856450046,0.02230843840931135,0.006304558680892337,0.02133850630455868,0.011639185257032008,0.011639185257032008
год власть президент 2014 начинать самый пост рад депутат часть	0.03685741998060136,0.05916585838991271,0.042192046556741025,0.03831231813773036,0.025703200775945685,0.052376333656644035,0.04510184287099903,0.01745877788554801,0.03443258971871969,0.05140640155189137
лидер поехать объяснять обама выигрывать семерка сектор банда кандидат президент	0.014064015518913677,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.019398642095053348,0.004849660523763337,0.004849660523763337,0.14354995150339475
российский экс украина покидать выборы млрд министр законопроект февраль трансляция	0.009699321047526674,0.019398642095053348,0.03976721629485936,0.03443258971871969,0.05965082444228904,0.05868089233753637,0.03297769156159069,0.029582929194956354,0.04122211445198836,0.03200775945683802
суд новый московский верховный саммит погибать действие американский вторник работа	0.030067895247332686,0.08438409311348205,0.03346265761396702,0.029097963142580018,0.004849660523763337,0.00921435499515034,0.03734238603297769,0.02424830261881668,0.03443258971871969,0.08147429679922405
украина украинский военный задерживать евро киев проходить совет газ рассматривать	0.00533462657613967,0.01988360814742968,0.0504364694471387,0.038797284190106696,0.004849660523763337,0.04413191076624636,0.11639185257032007,0.07565470417070805,0.1008729388942774,0.04995150339476237
судно состояние волгоград взрыв шумахер росрыболовство погибать шокальский эвакуировать академик	0.17070805043646944,0.015033947623666343,0.008244422890397672,0.014548981571290009,0.005819592628516004,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337
янукович кличко протестовать сирия яценюк лебедев платон митинговать готовый полномочие	0.004849660523763337,0.004849660523763337,0.1338506304558681,0.020853540252182348,0.024733268671193017,0.026188166828322017,0.01600387972841901,0.004849660523763337,0.004849660523763337,0.005819592628516004
сша ребенок подмосковье подтверждать происходить скончаться теракт волгоградский обвинение мир	0.07225994180407372,0.037827352085354024,0.013094083414161009,0.058195926285160036,0.027643064985451018,0.004849660523763337,0.02133850630455868,0.017943743937924344,0.004849660523763337,0.024733268671193017
олимпийский сочи игра рубль отставка млн онлайн погибать побеждать мэр	0.004849660523763337,0.019398642095053348,0.00921435499515034,0.040737148399612025,0.12851600387972842,0.06741028128031037,0.004849660523763337,0.025703200775945685,0.004849660523763337,0.01988360814742968
крым санкция пропадать россия присоединение список договор правый тысяча пересматривать	0.004849660523763337,0.004849660523763337,0.004849660523763337,0.006304558680892337,0.007759456838021339,0.004849660523763337,0.03394762366634336,0.049466537342386034,0.13579049466537343,0.04995150339476237
пострадать дтп полицейский олег мвд найденов оставаться подозреваемый сбивать спецслужба	0.0979631425800194,0.05286129970902037,0.04413191076624636,0.010184287099903006,0.006789524733268671,0.004849660523763337,0.007759456838021339,0.013579049466537343,0.006304558680892337,0.029097963142580018
янукович сборная место плющенко золото москва мвд хоккей вносить правительство	0.020853540252182348,0.004849660523763337,0.010184287099903006,0.02424830261881668,0.06062075654704171,0.11396702230843841,0.08292919495635305,0.027643064985451018,0.004849660523763337,0.008729388942774006
мид становиться новый отношение центр здание житель область помощь россиянин	0.05868089233753637,0.03346265761396702,0.026188166828322017,0.02667313288069835,0.023278370514064017,0.0431619786614937,0.06304558680892337,0.04655674102812803,0.05722599418040737,0.014064015518913677
